"test","batch","result","description"
"Audit table batches",,"OK","There must be Audit data for 3 batches"
"Audit table sources",,"OK","There must be Audit data for all data sets"
"DImessages Phase complete records",,"Not 4 Phase Complete Records","Must have 4 Phase Complete records"
"DImessages batches",,"Not 3 batches plus batch 0","Must have 3 distinct batches reported in DImessages"
"DImessages initial condition",,"OK","All DW tables must be empty before Batch1"
"DImessages sources",,"OK","Messages must be present for all tables/transforms"
"DImessages validation reports","2","OK","Every batch must have a full set of validation reports"
"DImessages validation reports","3","OK","Every batch must have a full set of validation reports"
"Data visibility joined row counts: FactCashBalances",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactHoldings",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactMarketHistory",,"OK","Row counts match when joined to dimensions"
"Data visibility joined row counts: FactWatches",,"OK","Row counts match when joined to dimensions"
"Data visibility row counts: DimAccount",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimBroker",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimCompany",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimCustomer",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimDate",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimSecurity",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimTime",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: DimTrade",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactCashBalances",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactHoldings",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactMarketHistory",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: FactWatches",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Financial",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Industry",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: Prospect",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: StatusType",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: TaxRate",,"OK","Row counts must be non-decreasing over time"
"Data visibility row counts: TradeType",,"OK","Row counts must be non-decreasing over time"
"DimAccount EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimAccount End of Time",,"OK","Every Account has one record with a date range reaching the end of time"
"DimAccount EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimAccount IsCurrent",,"OK","IsCurrent is 1 if EndDate is the end of time, else Iscurrent is 0"
"DimAccount Overlap",,"OK","Date ranges do not overlap for a given Account"
"DimAccount SK_BrokerID",,"OK","All SK_BrokerIDs match a broker record with a valid date range"
"DimAccount SK_CustomerID",,"OK","All SK_CustomerIDs match a DimCustomer record with a valid date range"
"DimAccount Status",,"Bad value","All Status values are valid"
"DimAccount TaxStatus",,"OK","All TaxStatus values are valid"
"DimAccount batches",,"Mismatch","BatchID values must match Audit table"
"DimAccount consolidation",,"OK","No records become effective and end on the same day"
"DimAccount distinct keys",,"OK","All SKs are distinct"
"DimAccount inactive customers",,"OK","If a customer is inactive, the corresponding accounts must also have been inactive"
"DimAccount row count","1","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimAccount row count","2","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimAccount row count","3","Too few rows","Actual row count matches or exceeds Audit table minimum"
"DimBroker BatchID","1","OK","All rows report BatchID = 1"
"DimBroker EffectiveDate",,"OK","All rows have Batch1 BatchDate as EffectiveDate"
"DimBroker EndDate",,"OK","All rows have end of time as EndDate"
"DimBroker IsCurrent",,"OK","All rows have IsCurrent = 1"
"DimBroker distinct keys",,"OK","All SKs are distinct"
"DimBroker row count",,"OK","Actual row count matches Audit table"
"DimCompany Country",,"OK","All Country values are valid"
"DimCompany EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCompany End of Time",,"End of tome not reached","Every company has one record with a date range reaching the end of time"
"DimCompany EndDate",,"OK","EndDate of one record matches EffectiveDate of another, or the end of time"
"DimCompany Industry",,"OK","Industry values are from the Industry table"
"DimCompany Overlap",,"Dates overlap","Date ranges do not overlap for a given company"
"DimCompany SPrating",,"OK","All SPrating values are valid"
"DimCompany Status",,"OK","All Status values are valid"
"DimCompany batches",,"OK","BatchID values must match Audit table"
"DimCompany consolidation",,"OK","No records become effective and end on the same day"
"DimCompany distinct keys",,"OK","All SKs are distinct"
"DimCompany distinct names",,"OK","Every company has a unique name"
"DimCompany row count","1","OK","Actual row count matches or exceeds Audit table minimum"
"DimCompany row count","2","OK","Actual row count matches or exceeds Audit table minimum"
"DimCompany row count","3","OK","Actual row count matches or exceeds Audit table minimum"
"DimCustomer EffectiveDate","1","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer EffectiveDate","2","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer EffectiveDate","3","OK","All records from a batch have an EffectiveDate in the batch time window"
"DimCustomer Email1",,"OK","Email1 values are properly formatted"
"DimCustomer Email2",,"OK","Email2 values are properly formatted"
"DimCustomer End of Time",,"OK","Every Customer has one record with a date range reaching the end of time"
